,result,table,_start,_stop,_time,_value,_field,_measurement,deviceId,hardwareVersion,location,softwareVersion
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:15.972Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:18.43Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:20.897Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:23.402Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:25.87Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:28.368Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:30.826Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:33.32Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:35.798Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:38.282Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:40.776Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:43.24Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:45.734Z,0.05,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:48.204Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:50.684Z,0.05,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:53.186Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
,,0,2025-03-18T00:40:13.812957075Z,2025-03-18T01:40:13.812957075Z,2025-03-18T00:40:55.702Z,0.04,amplitude,sensor_kitech,todd3367,1.0.0,factory-1,1.0.0
