_time,Unnamed: 0,result,table,_start,_stop,_value,_field,_measurement,device,rolling_avg
2025-03-22 21:57:42,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.0124
2025-03-22 21:57:43,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0135,x_g,vib,dkels-241008-013/vib,0.01295
2025-03-22 21:57:44,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012700000000000001
2025-03-22 21:57:45,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.013,x_g,vib,dkels-241008-013/vib,0.012775
2025-03-22 21:57:46,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0116,x_g,vib,dkels-241008-013/vib,0.01254
2025-03-22 21:57:47,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.014,x_g,vib,dkels-241008-013/vib,0.012783333333333334
2025-03-22 21:57:48,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.015,x_g,vib,dkels-241008-013/vib,0.0131
2025-03-22 21:57:49,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0134,x_g,vib,dkels-241008-013/vib,0.0131375
2025-03-22 21:57:50,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.013077777777777778
2025-03-22 21:57:51,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0116,x_g,vib,dkels-241008-013/vib,0.01293
2025-03-22 21:57:52,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012890909090909092
2025-03-22 21:57:53,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.01,x_g,vib,dkels-241008-013/vib,0.01265
2025-03-22 21:57:54,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.01263846153846154
2025-03-22 21:57:55,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.012685714285714286
2025-03-22 21:57:56,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0138,x_g,vib,dkels-241008-013/vib,0.012759999999999999
2025-03-22 21:57:57,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.01274375
2025-03-22 21:57:58,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.012776470588235294
2025-03-22 21:57:59,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0112,x_g,vib,dkels-241008-013/vib,0.012688888888888888
2025-03-22 21:58:00,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0118,x_g,vib,dkels-241008-013/vib,0.012642105263157894
2025-03-22 21:58:01,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.012615000000000001
2025-03-22 21:58:02,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.012604761904761905
2025-03-22 21:58:03,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.012590909090909092
2025-03-22 21:58:04,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0131,x_g,vib,dkels-241008-013/vib,0.012613043478260871
2025-03-22 21:58:05,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.0126125
2025-03-22 21:58:06,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.012603999999999999
2025-03-22 21:58:07,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0109,x_g,vib,dkels-241008-013/vib,0.012538461538461538
2025-03-22 21:58:08,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.012522222222222223
2025-03-22 21:58:09,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0115,x_g,vib,dkels-241008-013/vib,0.012485714285714286
2025-03-22 21:58:10,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0134,x_g,vib,dkels-241008-013/vib,0.012517241379310344
2025-03-22 21:58:11,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.013,x_g,vib,dkels-241008-013/vib,0.012533333333333334
2025-03-22 21:58:13,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0103,x_g,vib,dkels-241008-013/vib,0.012461290322580644
2025-03-22 21:58:14,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0135,x_g,vib,dkels-241008-013/vib,0.01249375
2025-03-22 21:58:15,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0118,x_g,vib,dkels-241008-013/vib,0.012472727272727274
2025-03-22 21:58:16,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0131,x_g,vib,dkels-241008-013/vib,0.012491176470588236
2025-03-22 21:58:17,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0111,x_g,vib,dkels-241008-013/vib,0.012451428571428572
2025-03-22 21:58:18,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012444444444444445
2025-03-22 21:58:19,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.01244054054054054
2025-03-22 21:58:20,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.011,x_g,vib,dkels-241008-013/vib,0.012402631578947368
2025-03-22 21:58:21,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.0124
2025-03-22 21:58:22,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0141,x_g,vib,dkels-241008-013/vib,0.012442499999999999
2025-03-22 21:58:23,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0115,x_g,vib,dkels-241008-013/vib,0.01241951219512195
2025-03-22 21:58:24,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0111,x_g,vib,dkels-241008-013/vib,0.012388095238095238
2025-03-22 21:58:25,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0097,x_g,vib,dkels-241008-013/vib,0.012325581395348837
2025-03-22 21:58:26,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.012320454545454546
2025-03-22 21:58:27,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0114,x_g,vib,dkels-241008-013/vib,0.0123
2025-03-22 21:58:28,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012304347826086956
2025-03-22 21:58:29,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0116,x_g,vib,dkels-241008-013/vib,0.01228936170212766
2025-03-22 21:58:30,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.012,x_g,vib,dkels-241008-013/vib,0.012283333333333334
2025-03-22 21:58:31,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.012279591836734695
2025-03-22 21:58:32,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0115,x_g,vib,dkels-241008-013/vib,0.012263999999999999
2025-03-22 21:58:33,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.012266666666666667
2025-03-22 21:58:34,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.012267307692307692
2025-03-22 21:58:35,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0111,x_g,vib,dkels-241008-013/vib,0.012245283018867925
2025-03-22 21:58:36,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0114,x_g,vib,dkels-241008-013/vib,0.01222962962962963
2025-03-22 21:58:37,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0114,x_g,vib,dkels-241008-013/vib,0.012214545454545454
2025-03-22 21:58:38,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0138,x_g,vib,dkels-241008-013/vib,0.012242857142857142
2025-03-22 21:58:39,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.01224561403508772
2025-03-22 21:58:40,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.012251724137931035
2025-03-22 21:58:41,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0137,x_g,vib,dkels-241008-013/vib,0.012276271186440677
2025-03-22 21:58:42,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0129,x_g,vib,dkels-241008-013/vib,0.012286666666666666
2025-03-22 21:58:43,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0138,x_g,vib,dkels-241008-013/vib,0.012311475409836065
2025-03-22 21:58:44,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0129,x_g,vib,dkels-241008-013/vib,0.012320967741935484
2025-03-22 21:58:45,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0128,x_g,vib,dkels-241008-013/vib,0.012328571428571428
2025-03-22 21:58:46,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0127,x_g,vib,dkels-241008-013/vib,0.012334375
2025-03-22 21:58:47,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012336923076923077
2025-03-22 21:58:48,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0144,x_g,vib,dkels-241008-013/vib,0.012368181818181818
2025-03-22 21:58:49,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0132,x_g,vib,dkels-241008-013/vib,0.012380597014925374
2025-03-22 21:58:50,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0132,x_g,vib,dkels-241008-013/vib,0.012392647058823529
2025-03-22 21:58:51,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0135,x_g,vib,dkels-241008-013/vib,0.012408695652173913
2025-03-22 21:58:52,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012405714285714286
2025-03-22 21:58:53,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012402816901408452
2025-03-22 21:58:54,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012400000000000001
2025-03-22 21:58:55,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0098,x_g,vib,dkels-241008-013/vib,0.012364383561643835
2025-03-22 21:58:56,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0104,x_g,vib,dkels-241008-013/vib,0.012337837837837838
2025-03-22 21:58:57,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.012,x_g,vib,dkels-241008-013/vib,0.012333333333333333
2025-03-22 21:58:58,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.012,x_g,vib,dkels-241008-013/vib,0.012328947368421054
2025-03-22 21:58:59,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0112,x_g,vib,dkels-241008-013/vib,0.012314285714285715
2025-03-22 21:59:00,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0116,x_g,vib,dkels-241008-013/vib,0.012305128205128205
2025-03-22 21:59:01,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0117,x_g,vib,dkels-241008-013/vib,0.01229746835443038
2025-03-22 21:59:02,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.01229875
2025-03-22 21:59:03,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0111,x_g,vib,dkels-241008-013/vib,0.01228395061728395
2025-03-22 21:59:04,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.01228780487804878
2025-03-22 21:59:05,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0118,x_g,vib,dkels-241008-013/vib,0.012281927710843375
2025-03-22 21:59:06,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0115,x_g,vib,dkels-241008-013/vib,0.012272619047619046
2025-03-22 21:59:07,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.013,x_g,vib,dkels-241008-013/vib,0.012281176470588236
2025-03-22 21:59:08,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0128,x_g,vib,dkels-241008-013/vib,0.012287209302325582
2025-03-22 21:59:09,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.012298850574712644
2025-03-22 21:59:10,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0131,x_g,vib,dkels-241008-013/vib,0.012307954545454546
2025-03-22 21:59:11,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.013,x_g,vib,dkels-241008-013/vib,0.012315730337078652
2025-03-22 21:59:12,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0114,x_g,vib,dkels-241008-013/vib,0.012305555555555554
2025-03-22 21:59:13,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.012316483516483517
2025-03-22 21:59:14,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0117,x_g,vib,dkels-241008-013/vib,0.012309782608695653
2025-03-22 21:59:15,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0118,x_g,vib,dkels-241008-013/vib,0.012304301075268819
2025-03-22 21:59:16,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.012307446808510638
2025-03-22 21:59:17,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.012310526315789473
2025-03-22 21:59:18,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0119,x_g,vib,dkels-241008-013/vib,0.01230625
2025-03-22 21:59:19,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0122,x_g,vib,dkels-241008-013/vib,0.012305154639175258
2025-03-22 21:59:20,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0119,x_g,vib,dkels-241008-013/vib,0.012301020408163265
2025-03-22 21:59:21,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.011,x_g,vib,dkels-241008-013/vib,0.012287878787878787
2025-03-22 21:59:22,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0137,x_g,vib,dkels-241008-013/vib,0.012302
2025-03-22 21:59:23,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0116,x_g,vib,dkels-241008-013/vib,0.012295049504950495
2025-03-22 21:59:24,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.012293137254901962
2025-03-22 21:59:25,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.012302912621359224
2025-03-22 21:59:27,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.011,x_g,vib,dkels-241008-013/vib,0.012290384615384616
2025-03-22 21:59:28,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0141,x_g,vib,dkels-241008-013/vib,0.012307619047619048
2025-03-22 21:59:29,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.01230754716981132
2025-03-22 21:59:30,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.012,x_g,vib,dkels-241008-013/vib,0.01230467289719626
2025-03-22 21:59:31,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0128,x_g,vib,dkels-241008-013/vib,0.012309259259259258
2025-03-22 21:59:32,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.01231834862385321
2025-03-22 21:59:33,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0101,x_g,vib,dkels-241008-013/vib,0.012298181818181817
2025-03-22 21:59:34,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0115,x_g,vib,dkels-241008-013/vib,0.012290990990990992
2025-03-22 21:59:35,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0125,x_g,vib,dkels-241008-013/vib,0.012292857142857144
2025-03-22 21:59:36,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.012,x_g,vib,dkels-241008-013/vib,0.012290265486725665
2025-03-22 21:59:37,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0112,x_g,vib,dkels-241008-013/vib,0.012280701754385965
2025-03-22 21:59:38,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0133,x_g,vib,dkels-241008-013/vib,0.012289565217391305
2025-03-22 21:59:39,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0134,x_g,vib,dkels-241008-013/vib,0.012299137931034484
2025-03-22 21:59:40,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0128,x_g,vib,dkels-241008-013/vib,0.012303418803418804
2025-03-22 21:59:41,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0129,x_g,vib,dkels-241008-013/vib,0.012308474576271185
2025-03-22 21:59:42,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0131,x_g,vib,dkels-241008-013/vib,0.012315126050420169
2025-03-22 21:59:43,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0123,x_g,vib,dkels-241008-013/vib,0.012315
2025-03-22 21:59:44,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0132,x_g,vib,dkels-241008-013/vib,0.012322314049586778
2025-03-22 21:59:45,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0121,x_g,vib,dkels-241008-013/vib,0.01232049180327869
2025-03-22 21:59:46,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0112,x_g,vib,dkels-241008-013/vib,0.012311382113821137
2025-03-22 21:59:47,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0139,x_g,vib,dkels-241008-013/vib,0.012324193548387097
2025-03-22 21:59:48,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0126,x_g,vib,dkels-241008-013/vib,0.0123264
2025-03-22 21:59:49,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0124,x_g,vib,dkels-241008-013/vib,0.012326984126984126
2025-03-22 21:59:50,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0138,x_g,vib,dkels-241008-013/vib,0.012338582677165354
2025-03-22 21:59:51,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0131,x_g,vib,dkels-241008-013/vib,0.01234453125
2025-03-22 21:59:52,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0119,x_g,vib,dkels-241008-013/vib,0.012341085271317831
2025-03-22 21:59:53,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0108,x_g,vib,dkels-241008-013/vib,0.01232923076923077
2025-03-22 21:59:54,,,0,2025-03-22T21:57:41.848275553Z,2025-03-22T22:57:41.848275553Z,0.0132,x_g,vib,dkels-241008-013/vib,0.01233587786259542
