epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.53094,1.08654,0.63636,1,1.02295,0.00010003,0.00010003,0.00010003
2,11.7648,1.06583,0.57576,1,1.10718,0.000212228,0.000212228,0.000212228
3,13.0763,0.97055,0.87879,1,0.87695,0.000322162,0.000322162,0.000322162
4,14.5632,0.93505,0.93939,1,0.73926,0.000429833,0.000429833,0.000429833
5,16.0723,0.82914,1,1,0.37091,0.000535241,0.000535241,0.000535241
6,17.6433,0.61029,1,1,0.33777,0.000638384,0.000638384,0.000638384
7,19.0355,0.39152,1,1,0.07477,0.000739265,0.000739265,0.000739265
8,20.4815,0.23509,1,1,0.01357,0.000837881,0.000837881,0.000837881
9,21.8777,0.16187,1,1,0.00386,0.000934234,0.000934234,0.000934234
10,23.3271,0.11175,1,1,0.03444,0.00102832,0.00102832,0.00102832
11,24.8916,0.09498,1,1,0.01215,0.00112015,0.00112015,0.00112015
12,26.4883,0.05523,1,1,0.00029,0.00120971,0.00120971,0.00120971
13,27.9762,0.06748,1,1,5e-05,0.00125923,0.00125923,0.00125923
14,29.4696,0.21348,1,1,1e-05,0.00124509,0.00124509,0.00124509
15,30.9854,0.03845,1,1,5e-05,0.00123094,0.00123094,0.00123094
16,32.5437,0.22571,1,1,2e-05,0.00121679,0.00121679,0.00121679
17,34.0574,0.0338,1,1,0.00018,0.00120265,0.00120265,0.00120265
18,35.5849,0.07478,1,1,0.00014,0.0011885,0.0011885,0.0011885
19,37.1257,0.08447,1,1,1e-05,0.00117435,0.00117435,0.00117435
20,38.6508,0.12602,1,1,1e-05,0.00116021,0.00116021,0.00116021
21,40.2517,0.03497,1,1,1e-05,0.00114606,0.00114606,0.00114606
22,41.8263,0.25084,1,1,0,0.00113191,0.00113191,0.00113191
23,43.2921,0.05208,1,1,1e-05,0.00111776,0.00111776,0.00111776
24,44.7888,0.05718,1,1,1e-05,0.00110362,0.00110362,0.00110362
25,46.2987,0.29292,1,1,1e-05,0.00108947,0.00108947,0.00108947
26,47.8836,0.02704,1,1,5e-05,0.00107532,0.00107532,0.00107532
27,49.3939,0.21836,1,1,0.00045,0.00106118,0.00106118,0.00106118
28,50.977,0.03723,1,1,0.00105,0.00104703,0.00104703,0.00104703
29,52.4638,0.03576,1,1,0.0005,0.00103288,0.00103288,0.00103288
30,53.9237,0.04561,1,1,0.00047,0.00101873,0.00101873,0.00101873
31,55.4661,0.06631,1,1,7e-05,0.00100459,0.00100459,0.00100459
32,57.0003,0.04063,1,1,3e-05,0.00099044,0.00099044,0.00099044
33,58.5276,0.03237,1,1,3e-05,0.000976293,0.000976293,0.000976293
34,60.0361,0.20045,1,1,0.00049,0.000962146,0.000962146,0.000962146
35,61.5649,0.19034,1,1,6e-05,0.000947999,0.000947999,0.000947999
36,63.0679,0.02432,1,1,0.00018,0.000933851,0.000933851,0.000933851
37,64.6673,0.05198,1,1,0.00068,0.000919704,0.000919704,0.000919704
38,66.131,0.01122,1,1,0.00068,0.000905557,0.000905557,0.000905557
39,67.6048,0.01116,1,1,0.00119,0.00089141,0.00089141,0.00089141
40,69.1083,0.17287,1,1,0.00146,0.000877263,0.000877263,0.000877263
41,70.679,0.02917,1,1,0.00455,0.000863116,0.000863116,0.000863116
42,72.1906,0.29567,1,1,0.00216,0.000848969,0.000848969,0.000848969
43,73.7343,0.02985,1,1,0.00015,0.000834822,0.000834822,0.000834822
44,75.2537,0.06549,1,1,1e-05,0.000820675,0.000820675,0.000820675
45,76.7394,0.01817,1,1,1e-05,0.000806528,0.000806528,0.000806528
46,78.3412,0.03838,1,1,2e-05,0.00079238,0.00079238,0.00079238
47,79.8853,0.08935,1,1,0,0.000778233,0.000778233,0.000778233
48,81.5971,0.01726,1,1,2e-05,0.000764086,0.000764086,0.000764086
49,83.0404,0.02574,1,1,1e-05,0.000749939,0.000749939,0.000749939
