acceleration_x,acceleration_y,acceleration_z
10.4339,0.1796,0.9002
10.6781,0.0646,0.4046
10.3166,0.012,0.5435
9.7827,0.0982,1.0798
9.8545,0.1915,1.245
10.4363,0.1676,0.7853
10.6614,0.0455,0.3759
10.2065,0.0168,0.644
9.742,0.1173,1.1708
9.9503,0.1963,1.221
10.5369,0.1389,0.6943
10.5369,0.1389,0.6943
10.6374,0.0168,0.3783
10.1155,0.0168,0.7566
9.7276,0.1269,1.2498
10.0461,0.1915,1.1779
10.6039,0.1173,0.6249
10.5728,0.012,0.4262
10.0078,0.0383,0.8763
9.7276,0.1484,1.3001
10.149,0.1891,1.1013
10.647,0.0934,0.5459
10.4818,-0.0024,0.4741
9.9048,0.0479,0.972
9.754,0.1556,1.3048
9.754,0.1556,1.3048
10.2592,0.1772,0.9888
10.671,0.0718,0.4597
10.3789,-0.0024,0.5195
9.8162,0.0646,1.0463
9.7923,0.17,1.2809
10.3501,0.17,0.8691
10.659,0.0575,0.3974
10.2639,0.0096,0.5866
9.742,0.0958,1.1301
9.8497,0.1867,1.2665
10.4363,0.1508,0.7853
10.6303,0.0287,0.4046
10.6303,0.0287,0.4046
10.1562,0.0072,0.7087
9.7181,0.1101,1.2234
9.9527,0.182,1.233
10.5249,0.1197,0.7015
10.5943,0.0096,0.431
10.0844,0.0239,0.814
9.7492,0.1317,1.2498
10.0676,0.1867,1.1349
10.5632,0.1149,0.6297
10.5201,0.0263,0.4884
10.0269,0.0599,0.893
9.7947,0.1508,1.2282
9.7947,0.1508,1.2282
10.1442,0.1772,1.0367
10.5465,0.0958,0.5866
10.4196,0.0263,0.5531
9.9719,0.0766,0.9625
9.8426,0.1628,1.2186
10.2065,0.1748,0.972
10.5297,0.091,0.5746
10.3549,0.0383,0.6177
9.9647,0.0982,1.0056
9.9192,0.17,1.1827
10.2783,0.158,0.9122
10.5153,0.0742,0.589
10.2999,0.0407,0.7015
10.2999,0.0407,0.7015
9.9575,0.0982,1.063
9.979,0.1556,1.1636
10.3262,0.1389,0.8643
10.4866,0.0694,0.5962
10.2472,0.0575,0.7494
9.9647,0.1197,1.0798
10.0437,0.1628,1.1205
10.3621,0.1269,0.8188
10.4483,0.0599,0.6177
10.1873,0.0551,0.8068
9.9551,0.1101,1.0822
10.082,0.1437,1.0511
10.082,0.1437,1.0511
10.3789,0.1077,0.7542
10.4124,0.0527,0.6177
10.1442,0.0622,0.8332
9.9671,0.1197,1.0774
10.1275,0.1437,1.0032
10.3837,0.0982,0.7135
10.3597,0.0527,0.6345
10.1011,0.0766,0.8643
9.9886,0.1317,1.0558
10.1825,0.1389,0.9409
10.398,0.0934,0.6871
