,result,table,_time,x,y,z
,,0,2023-05-16T23:00:00Z,51,-33,4152
,,0,2023-05-16T23:00:00.02Z,47,9,4161
,,0,2023-05-16T23:00:00.04Z,32,-14,4100
,,0,2023-05-16T23:00:00.06Z,35,-37,4139
,,0,2023-05-16T23:00:00.08Z,54,-31,4117
,,0,2023-05-16T23:00:00.1Z,39,-14,4116
,,0,2023-05-16T23:00:00.12Z,42,-17,4153
,,0,2023-05-16T23:00:00.14Z,39,-31,4162
,,0,2023-05-16T23:00:00.16Z,44,-30,4132
,,0,2023-05-16T23:00:00.18Z,43,-22,4109
,,0,2023-05-16T23:00:00.2Z,42,-19,4164
,,0,2023-05-16T23:00:00.22Z,45,-15,4168
,,0,2023-05-16T23:00:00.24Z,46,-16,4118
,,0,2023-05-16T23:00:00.26Z,52,-28,4137
,,0,2023-05-16T23:00:00.28Z,68,-25,4145
,,0,2023-05-16T23:00:00.3Z,48,-9,4141
,,0,2023-05-16T23:00:00.32Z,73,-29,4158
,,0,2023-05-16T23:00:00.34Z,61,-34,4151
,,0,2023-05-16T23:00:00.36Z,52,-35,4132
,,0,2023-05-16T23:00:00.38Z,40,-17,4130
,,0,2023-05-16T23:00:00.4Z,29,-35,4156
,,0,2023-05-16T23:00:00.42Z,47,-31,4094
,,0,2023-05-16T23:00:00.44Z,70,-21,4161
,,0,2023-05-16T23:00:00.46Z,49,-42,4169
,,0,2023-05-16T23:00:00.48Z,36,-32,4120
,,0,2023-05-16T23:00:00.5Z,22,-21,4143
,,0,2023-05-16T23:00:00.52Z,41,-34,4124
,,0,2023-05-16T23:00:00.54Z,36,-19,4160
,,0,2023-05-16T23:00:00.56Z,45,-54,4145
,,0,2023-05-16T23:00:00.58Z,33,-33,4124
,,0,2023-05-16T23:00:00.6Z,27,-37,4154
,,0,2023-05-16T23:00:00.62Z,62,-29,4127
,,0,2023-05-16T23:00:00.64Z,53,-20,4156
,,0,2023-05-16T23:00:00.66Z,49,-23,4141
,,0,2023-05-16T23:00:00.68Z,52,-38,4140
,,0,2023-05-16T23:00:00.7Z,64,-30,4137
,,0,2023-05-16T23:00:00.72Z,28,5,4158
,,0,2023-05-16T23:00:00.74Z,68,-9,4174
,,0,2023-05-16T23:00:00.76Z,49,-15,4138
,,0,2023-05-16T23:00:00.78Z,53,-36,4156
,,0,2023-05-16T23:00:00.8Z,57,-9,4124
,,0,2023-05-16T23:00:00.82Z,44,-16,4125
,,0,2023-05-16T23:00:00.84Z,72,-38,4146
,,0,2023-05-16T23:00:00.86Z,41,-19,4147
,,0,2023-05-16T23:00:00.88Z,51,-31,4141
,,0,2023-05-16T23:00:00.9Z,48,-19,4153
,,0,2023-05-16T23:00:00.92Z,41,-20,4155
,,0,2023-05-16T23:00:00.94Z,68,-47,4142
,,0,2023-05-16T23:00:00.96Z,56,-17,4139
,,0,2023-05-16T23:00:00.98Z,37,-27,4147
,,0,2023-05-16T23:00:01Z,65,-12,4097
,,0,2023-05-16T23:00:01.02Z,37,-53,4120
,,0,2023-05-16T23:00:01.04Z,82,-15,4158
,,0,2023-05-16T23:00:01.06Z,56,-37,4130
,,0,2023-05-16T23:00:01.08Z,35,-27,4153
,,0,2023-05-16T23:00:01.1Z,36,-20,4140
,,0,2023-05-16T23:00:01.12Z,54,-19,4116
,,0,2023-05-16T23:00:01.14Z,4,-21,4138
,,0,2023-05-16T23:00:01.16Z,45,-33,4137
,,0,2023-05-16T23:00:01.18Z,53,-20,4099
,,0,2023-05-16T23:00:01.2Z,28,-29,4130
,,0,2023-05-16T23:00:01.22Z,27,-30,4146
,,0,2023-05-16T23:00:01.24Z,57,-47,4138
,,0,2023-05-16T23:00:01.26Z,36,-20,4175
,,0,2023-05-16T23:00:01.28Z,57,-3,4135
,,0,2023-05-16T23:00:01.3Z,64,-41,4145
,,0,2023-05-16T23:00:01.32Z,40,-16,4141
,,0,2023-05-16T23:00:01.34Z,57,-44,4136
,,0,2023-05-16T23:00:01.36Z,33,-29,4123
,,0,2023-05-16T23:00:01.38Z,39,-18,4160
,,0,2023-05-16T23:00:01.4Z,32,-29,4118
,,0,2023-05-16T23:00:01.42Z,50,-37,4131
,,0,2023-05-16T23:00:01.44Z,38,-39,4165
,,0,2023-05-16T23:00:01.46Z,43,-30,4148
,,0,2023-05-16T23:00:01.48Z,50,-18,4177
,,0,2023-05-16T23:00:01.5Z,27,-15,4107
,,0,2023-05-16T23:00:01.52Z,46,-17,4123
,,0,2023-05-16T23:00:01.54Z,27,-39,4147
,,0,2023-05-16T23:00:01.56Z,42,-13,4149
,,0,2023-05-16T23:00:01.58Z,60,-13,4164
,,0,2023-05-16T23:00:01.6Z,36,-28,4178
,,0,2023-05-16T23:00:01.62Z,27,-21,4148
,,0,2023-05-16T23:00:01.64Z,57,-17,4135
,,0,2023-05-16T23:00:01.66Z,69,-27,4119
,,0,2023-05-16T23:00:01.68Z,48,-35,4173
,,0,2023-05-16T23:00:01.7Z,53,-26,4119
,,0,2023-05-16T23:00:01.72Z,79,-42,4113
,,0,2023-05-16T23:00:01.74Z,46,-48,4133
,,0,2023-05-16T23:00:01.76Z,46,-18,4107
,,0,2023-05-16T23:00:01.78Z,49,-22,4132
,,0,2023-05-16T23:00:01.8Z,52,-13,4134
,,0,2023-05-16T23:00:01.82Z,49,-35,4138
,,0,2023-05-16T23:00:01.84Z,34,-24,4126
,,0,2023-05-16T23:00:01.86Z,40,-44,4126
,,0,2023-05-16T23:00:01.88Z,39,-30,4139
,,0,2023-05-16T23:00:01.9Z,38,-21,4156
,,0,2023-05-16T23:00:01.92Z,55,-20,4110
,,0,2023-05-16T23:00:01.94Z,58,-30,4133
,,0,2023-05-16T23:00:01.96Z,52,-47,4150
,,0,2023-05-16T23:00:01.98Z,59,-44,4141
,,0,2023-05-16T23:00:02Z,58,-15,4144
,,0,2023-05-16T23:00:02.02Z,49,-20,4146
